iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,test_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GTM,North America,Guatemala,9/23/2020,86623,942,562.714,3137,13,21.857,4835.07,52.58,31.409,175.099,0.726,1.22,175,1,1.22,0,0,0,0,0,,0,0,0,0,17915600,157.834,7423.808,4.694,3.016,7423.81,8.7,155.898,10.18,0,0,76.665
GGY,Europe,Guernsey,9/23/2020,256,0,0.429,13,0,0,3817.93,0,6.392,193.879,0,0,194,0,0,0,0,0,0,0,,0,0,0,0,67052,0,,0,0,0,0,0,0,0,0,0
GIN,Africa,Guinea,9/23/2020,10387,43,39.429,65,0,0.286,790.921,3.274,3.002,4.949,0,0.022,5,0,0.022,0,0,0,0,0,,0,0,0,0,13132800,51.755,1998.926,3.135,1.733,1998.93,35.3,336.717,2.42,0,0,17.45
GNB,Africa,Guinea-Bissau,9/23/2020,2303,0,4,39,0,0,1170.22,0,2.033,19.817,0,0,20,0,0,0,0,0,0,0,,0,0,0,0,1968000,66.191,1548.675,3.002,1.565,1548.68,67.1,382.474,2.42,0,0,6.403
GUY,South America,Guyana,9/23/2020,2437,35,68.429,67,2,1.286,3098.3,44.498,86.997,85.181,2.543,1.635,85,3,1.635,0,0,0,0,0,,0,0,0,0,786559,3.952,7435.047,5.305,2.837,7435.05,0,373.159,11.62,0,0,77.159
HTI,North America,Haiti,9/23/2020,8633,9,14.714,223,2,0.429,757.112,0.789,1.29,19.557,0.175,0.038,20,0,0.038,0,0,0,0,0,,0,0,0,0,11402500,398.448,1653.173,4.8,2.954,1653.17,23.5,430.548,6.65,2.9,23.1,22.863
HND,North America,Honduras,9/23/2020,72306,231,526.571,2206,2,17,7300.24,23.322,53.164,222.725,0.202,1.716,223,0,1.716,0,0,0,0,0,,0,0,0,0,9904610,82.805,4541.795,4.652,2.883,4541.79,16,240.208,7.21,2,0,84.169
HUN,Europe,Hungary,9/23/2020,20450,951,855.714,702,8,6.857,2116.9,98.444,88.58,72.668,0.828,0.71,73,1,0.71,13461,645492,66.819,1.393,11114,1.15,12.988,0,0,0,9660350,108.043,26777.561,18.577,11.976,26777.6,0.5,278.296,7.55,26.8,34.8,0
ISL,Europe,Iceland,9/23/2020,2419,42,35,10,0,0,7088.65,123.077,102.564,29.304,0,0,29,0,0,0,0,0,0,0,,0,0,0,0,341250,3.404,46482.958,14.431,9.207,46483,0.2,117.992,5.31,14.3,15.2,0
IND,Asia,India,9/23/2020,5646010,83347,89378.7,90020,1085,1136.29,4091.3,60.396,64.767,65.232,0.786,0.823,65,1,0.823,0,0,0,0,0,,0,0,0,0,1380000000,450.419,6426.674,5.989,3.414,6426.67,21.2,282.28,10.39,1.9,20.6,59.55
IDN,Asia,Indonesia,9/23/2020,252923,4071,3984.71,9837,160,124.571,924.684,14.884,14.568,35.964,0.585,0.455,36,1,0.455,0,0,0,0,0,,0,0,0,0,273524000,145.725,11188.744,5.319,3.053,11188.7,5.7,342.864,6.32,2.8,76.1,64.204
IRN,Asia,Iran,9/23/2020,429193,3712,3120,24656,178,171.857,5109.87,44.194,37.146,293.548,2.119,2.046,294,2,2.046,0,0,0,0,0,,0,0,0,0,83993000,49.831,19082.62,5.44,3.182,19082.6,0.2,270.308,9.59,0.8,21.1,0
IRQ,Asia,Iraq,9/23/2020,327580,4724,4125.43,8682,57,73.714,8144.2,117.447,102.565,215.849,1.417,1.833,216,1,1.833,0,0,0,0,0,,0,0,0,0,40222500,88.125,15663.986,3.186,1.957,15664,2.5,218.612,8.83,0,0,94.576
IRL,Europe,Ireland,9/23/2020,33444,323,270.714,1792,0,0.714,6773.06,65.414,54.825,362.915,0,0.145,363,0,0.145,0,0,0,0,0,,0,0,0,0,4937800,69.874,67335.293,13.928,8.678,67335.3,0.2,126.459,3.28,23,25.7,0
IMN,Europe,Isle of Man,9/23/2020,340,0,0.143,24,0,0,3998.5,0,1.68,282.247,0,0,282,0,0,0,0,0,0,0,,0,0,0,0,85032,147.872,,0,0,0,0,0,0,0,0,0
ISR,Asia,Israel,9/23/2020,193374,795,3797.14,1285,12,19.714,22341.1,91.849,438.695,148.46,1.386,2.278,148,1,2.278,0,0,0,0,0,,0,0,0,0,8655540,402.606,33132.32,11.733,7.359,33132.3,0.5,93.32,6.74,15.4,35.4,0
ITA,Europe,Italy,9/23/2020,300897,1391,1558.14,35738,14,15,4976.64,23.006,25.771,591.084,0.232,0.248,591,0,0.248,0,0,0,0,0,,0,0,0,0,60461800,205.859,35220.084,23.021,16.24,35220.1,2,113.151,4.78,19.8,27.8,0
JAM,North America,Jamaica,9/23/2020,5251,129,172.714,75,5,4.143,1773.29,43.564,58.327,25.328,1.689,1.399,25,2,1.399,0,0,0,0,0,,0,0,0,0,2961160,266.879,8193.571,9.684,6.39,8193.57,0,206.537,11.28,5.3,28.6,66.425
JPN,Asia,Japan,9/23/2020,79768,330,474.286,1512,4,7.286,630.694,2.609,3.75,11.955,0.032,0.058,12,0,0.058,0,0,0,0,0,,0,0,0,37.04,126476000,347.778,39002.223,27.049,18.493,39002.2,0,79.37,5.72,11.2,33.7,0
JEY,Europe,Jersey,9/23/2020,398,2,1.714,32,0,0,3937.75,19.788,16.961,316.603,0,0,317,0,0,0,0,0,0,0,,0,0,0,0,101073,0,,0,0,0,0,0,0,0,0,0
JOR,Asia,Jordan,9/23/2020,5679,634,286,33,1,1,556.593,62.138,28.031,3.234,0.098,0.098,3,0,0.098,0,0,0,0,0,,0,0,0,0,10203100,109.285,8337.49,3.81,2.361,8337.49,0.1,208.257,11.75,0,0,0
KAZ,Asia,Kazakhstan,9/23/2020,138982,440,274.857,2044,28,5.857,7401.83,23.433,14.638,108.858,1.491,0.312,109,1,0.312,0,0,0,0,0,,0,0,0,0,18776700,6.681,24055.588,6.991,4.625,24055.6,0.1,466.792,7.11,7,43.1,98.999
KEN,Africa,Kenya,9/23/2020,37218,139,144.714,659,9,5,692.154,2.585,2.691,12.256,0.167,0.093,12,0,0.093,0,0,0,0,0,,0,0,0,0,53771300,87.324,2993.028,2.686,1.528,2993.03,36.8,218.637,2.92,1.2,20.4,24.651
OWI,Europe,Kosovo,9/23/2020,15208,66,63.571,615,0,2,7868.48,34.148,32.891,318.196,0,1.035,318,0,1.035,0,0,0,0,0,,0,0,0,0,1932770,168.155,9795.834,0,0,9795.83,0.6,0,0,0,0,0
KWT,Asia,Kuwait,9/23/2020,100683,719,626,588,3,2.857,23576,168.362,146.585,137.687,0.702,0.669,138,1,0.669,0,0,0,0,0,,0,0,0,0,4270560,232.128,65530.537,2.345,1.114,65530.5,0,132.235,15.84,2.7,37,0
KGZ,Asia,Kyrgyzstan,9/23/2020,45630,88,79.714,1063,0,0,6993.97,13.488,12.218,162.932,0,0,163,0,0,0,0,0,0,0,,0,0,0,0,6524190,32.333,3393.474,4.489,2.882,3393.47,1.4,436.362,7.11,3.6,50.5,89.22
LAO,Asia,Laos,9/23/2020,23,0,0,0,0,0,3.161,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7275560,29.715,6397.36,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839
LVA,Europe,Latvia,9/23/2020,1560,34,11.143,36,0,0.143,827.059,18.026,5.908,19.086,0,0.076,19,0,0.076,2733,301818,160.014,1.449,2277,1.207,204.346,0,0,0,1886200,31.212,25063.846,19.754,14.136,25063.8,0.7,350.06,4.91,25.6,51,0
LBN,Asia,Lebanon,9/23/2020,30852,865,771.857,315,8,9,4520.15,126.732,113.085,46.151,1.172,1.319,46,1,1.319,0,0,0,0,0,,0,0,0,0,6825440,594.561,13367.565,8.514,5.43,13367.6,0,266.591,12.71,26.9,40.7,0
LSO,Africa,Lesotho,9/23/2020,1424,0,25.571,33,0,0,664.721,0,11.937,15.404,0,0,15,0,0,0,0,0,0,0,,0,0,0,0,2142250,73.562,2851.153,4.506,2.647,2851.15,59.6,405.126,3.94,0.4,53.9,2.117
LBR,Africa,Liberia,9/23/2020,1336,0,1.286,82,0,0,264.153,0,0.254,16.213,0,0,16,0,0,0,0,0,0,0,,0,0,0,0,5057680,49.127,752.788,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188
LBY,Africa,Libya,9/23/2020,29446,650,757.429,464,10,11.571,4285.37,94.597,110.231,67.527,1.455,1.684,68,1,1.684,0,0,0,0,0,,0,0,0,0,6871290,3.623,17881.509,4.424,2.816,17881.5,0,341.862,10.43,0,0,0
LIE,Europe,Liechtenstein,9/23/2020,116,2,0.714,1,0,0,3041.67,52.443,18.729,26.221,0,0,26,0,0,0,0,0,0,0,,0,0,0,0,38137,237.012,,0,0,0,0,0,7.77,0,0,0
LTU,Europe,Lithuania,9/23/2020,3859,45,59.571,87,0,0,1417.56,16.53,21.883,31.958,0,0,32,0,0,5649,737561,270.934,2.075,4477,1.645,75.153,0,0,0,2722290,45.135,29524.265,19.002,13.778,29524.3,0.7,342.989,3.67,21.3,38,0
